timestamp,pid,process_name,cpu_usage,ram_usage,category,alias_name
2026-04-01T19:13:52.485132Z,43779,CloudTelemetryService,0.0,11,Uncategorized,CloudTelemetryService
2026-04-01T19:13:52.485132Z,4607,uTorrent Web,0.3,96,Fun,uTorrent Web
2026-04-01T19:13:52.485132Z,36741,iCloudNotificationAgent,0.0,8,Uncategorized,iCloudNotificationAgent
2026-04-01T19:13:52.485132Z,1357,sharingd,0.0,44,Work,sharingd
2026-04-01T19:13:52.485132Z,94954,94954,0.0,5,Uncategorized,94954
2026-04-01T19:13:52.485132Z,71932,assistantd,0.0,35,Uncategorized,assistantd
2026-04-01T19:13:52.485132Z,978,cfprefsd,0.0,7,Uncategorized,cfprefsd
2026-04-01T19:13:52.485132Z,44689,AcroCEF Helper (GPU),0.3,39,Fun,AcroCEF Helper (GPU)
2026-04-01T19:13:52.485132Z,600,600,0.0,3,Fun,600
2026-04-01T19:13:52.485132Z,601,601,0.6,22,Fun,601
2026-04-01T19:13:52.485132Z,603,603,0.0,14,Fun,603
2026-04-01T19:13:52.485132Z,604,604,0.0,12,Fun,604
2026-04-01T19:13:52.485132Z,605,605,0.0,17,Uncategorized,605
2026-04-01T19:13:52.485132Z,607,607,0.0,13,Uncategorized,607
2026-04-01T19:13:52.485132Z,35902,35902,0.0,31,Uncategorized,35902
2026-04-01T19:13:52.485132Z,608,608,0.0,2,Uncategorized,608
2026-04-01T19:13:52.485132Z,36840,MessagesBlastDoorService,0.0,6,Uncategorized,MessagesBlastDoorService
2026-04-01T19:13:52.485132Z,36132,pbs,0.0,3,Uncategorized,pbs
2026-04-01T19:13:52.485132Z,1287,pboard,0.0,9,Uncategorized,pboard
2026-04-01T19:13:52.485132Z,88060,88060,0.0,15,Uncategorized,88060
2026-04-01T19:13:52.485132Z,1301,usernoted,0.0,26,Uncategorized,usernoted
2026-04-01T19:13:52.485132Z,14070,14070,0.0,10,Uncategorized,14070
2026-04-01T19:13:52.485132Z,36139,itunescloudd,0.0,17,Uncategorized,itunescloudd
2026-04-01T19:13:52.485132Z,1316,WindowManager,0.0,31,Uncategorized,WindowManager
2026-04-01T19:13:52.485132Z,35947,calaccessd,0.0,19,Uncategorized,calaccessd
2026-04-01T19:13:52.485132Z,5133,peopled,0.0,13,Uncategorized,peopled
2026-04-01T19:13:52.485132Z,23194,UsageTrackingAgent,0.0,14,Uncategorized,UsageTrackingAgent
2026-04-01T19:13:52.485132Z,1300,lockoutagent,0.0,5,Uncategorized,lockoutagent
2026-04-01T19:13:52.485132Z,850,850,0.1,118,Uncategorized,850
2026-04-01T19:13:52.485132Z,730,730,0.0,4,Uncategorized,730
2026-04-01T19:13:52.485132Z,2489,2489,0.0,2,Uncategorized,2489
2026-04-01T19:13:52.485132Z,610,610,0.0,6,Uncategorized,610
2026-04-01T19:13:52.485132Z,1589,Electron,0.0,150,Uncategorized,Electron
2026-04-01T19:13:52.485132Z,8158,PowerChime,0.0,21,Uncategorized,PowerChime
2026-04-01T19:13:52.485132Z,36906,syncdefaultsd,0.0,11,Uncategorized,syncdefaultsd
2026-04-01T19:13:52.485132Z,36873,contentlinkingd,0.0,8,Uncategorized,contentlinkingd
2026-04-01T19:13:52.485132Z,1278,UserEventAgent,0.0,18,Uncategorized,UserEventAgent
2026-04-01T19:13:52.485132Z,1053,1053,0.0,2,Uncategorized,1053
2026-04-01T19:13:52.485132Z,27951,OfficeThumbnailExtension,0.0,9,Uncategorized,OfficeThumbnailExtension
2026-04-01T19:13:52.485132Z,7744,Microsoft Word,0.1,337,Uncategorized,Microsoft Word
2026-04-01T19:13:52.485132Z,980,980,0.0,4,Uncategorized,980
2026-04-01T19:13:52.485132Z,1381,CMFSyncAgent,0.0,5,Uncategorized,CMFSyncAgent
2026-04-01T19:13:52.485132Z,740,740,0.0,7,Uncategorized,740
2026-04-01T19:13:52.485132Z,2381,FindMyWidgetItems,0.0,13,Uncategorized,FindMyWidgetItems
2026-04-01T19:13:52.485132Z,745,745,0.0,2,Uncategorized,745
2026-04-01T19:13:52.485132Z,624,624,7.0,47,Uncategorized,624
2026-04-01T19:13:52.485132Z,36064,dmd,0.0,8,Uncategorized,dmd
2026-04-01T19:13:52.485132Z,1666,CursorUIViewService,0.0,25,Uncategorized,CursorUIViewService
2026-04-01T19:13:52.485132Z,629,629,0.0,12,Uncategorized,629
2026-04-01T19:13:52.485132Z,5012,WallpaperLegacyExtension,0.0,7,Uncategorized,WallpaperLegacyExtension
2026-04-01T19:13:52.485132Z,61533,full-line-inference,0.0,24,Uncategorized,full-line-inference
2026-04-01T19:13:52.485132Z,36882,36882,0.0,7,Uncategorized,36882
2026-04-01T19:13:52.485132Z,4985,contactsd,0.0,16,Uncategorized,contactsd
2026-04-01T19:13:52.485132Z,750,750,0.0,5,Uncategorized,750
2026-04-01T19:13:52.485132Z,1558,WallpaperControlsExtension,0.0,6,Uncategorized,WallpaperControlsExtension
2026-04-01T19:13:52.485132Z,630,630,0.0,3,Uncategorized,630
2026-04-01T19:13:52.485132Z,1786,JournalWidgets,0.0,16,Uncategorized,JournalWidgets
2026-04-01T19:13:52.485132Z,631,631,0.0,24,Uncategorized,631
2026-04-01T19:13:52.485132Z,1059,1059,0.0,10,Fun,1059
2026-04-01T19:13:52.485132Z,632,632,0.0,2,Fun,632
2026-04-01T19:13:52.485132Z,634,634,0.0,17,Uncategorized,634
2026-04-01T19:13:52.485132Z,1337,ScreenTimeAgent,0.0,18,Uncategorized,ScreenTimeAgent
2026-04-01T19:13:52.485132Z,636,636,0.0,5,Uncategorized,636
2026-04-01T19:13:52.485132Z,97987,Microsoft PowerPoint,0.0,127,Uncategorized,Microsoft PowerPoint
2026-04-01T19:13:52.485132Z,90512,ControlCenterHelper,0.0,21,Uncategorized,ControlCenterHelper
2026-04-01T19:13:52.485132Z,637,637,0.0,2,Uncategorized,637
2026-04-01T19:13:52.485132Z,13814,Claude Helper,0.0,75,Uncategorized,Claude Helper
2026-04-01T19:13:52.485132Z,97712,ACCFinderSync,0.0,21,Uncategorized,ACCFinderSync
2026-04-01T19:13:52.485132Z,64322,64322,0.0,9,Uncategorized,64322
2026-04-01T19:13:52.485132Z,36233,translationd,0.0,10,Uncategorized,translationd
2026-04-01T19:13:52.485132Z,1611,Finder,0.0,71,Uncategorized,Finder
2026-04-01T19:13:52.485132Z,35941,proactived,0.0,13,Uncategorized,proactived
2026-04-01T19:13:52.485132Z,36740,PlugInLibraryService,0.0,1,Uncategorized,PlugInLibraryService
2026-04-01T19:13:52.485132Z,1564,CalendarWidgetExtension,0.0,26,Uncategorized,CalendarWidgetExtension
2026-04-01T19:13:52.485132Z,521,521,1.1,22,Uncategorized,521
2026-04-01T19:13:52.485132Z,58705,appleaccountd,0.0,12,Uncategorized,appleaccountd
2026-04-01T19:13:52.485132Z,642,642,0.0,2,Uncategorized,642
2026-04-01T19:13:52.485132Z,764,764,0.0,1,Uncategorized,764
2026-04-01T19:13:52.485132Z,1069,1069,48.9,157,Uncategorized,1069
2026-04-01T19:13:52.485132Z,11301,Code Helper (Plugin),0.0,34,Uncategorized,Code Helper (Plugin)
2026-04-01T19:13:52.485132Z,523,523,0.0,16,Uncategorized,523
2026-04-01T19:13:52.485132Z,4455,4455,0.0,1,Uncategorized,4455
2026-04-01T19:13:52.485132Z,525,525,0.0,7,Uncategorized,525
2026-04-01T19:13:52.485132Z,4931,Google Chrome Helper,0.0,46,Uncategorized,Google Chrome Helper
2026-04-01T19:13:52.485132Z,526,526,0.0,14,Uncategorized,526
2026-04-01T19:13:52.485132Z,769,769,0.0,5,Uncategorized,769
2026-04-01T19:13:52.485132Z,36753,36753,0.0,6,Uncategorized,36753
2026-04-01T19:13:52.485132Z,529,529,0.0,11,Uncategorized,529
2026-04-01T19:13:52.485132Z,1305,usernotificationsd,0.0,16,Uncategorized,usernotificationsd
2026-04-01T19:13:52.485132Z,36879,36879,0.0,30,Uncategorized,36879
2026-04-01T19:13:52.485132Z,28488,com.apple.WebKit.Networking,0.0,12,Uncategorized,com.apple.WebKit.Networking
2026-04-01T19:13:52.485132Z,5015,WallpaperDynamicExtension,0.0,7,Uncategorized,WallpaperDynamicExtension
2026-04-01T19:13:52.485132Z,27952,WebThumbnailExtension,0.0,26,Uncategorized,WebThumbnailExtension
2026-04-01T19:13:52.485132Z,1313,identityservicesd,0.0,32,Uncategorized,identityservicesd
2026-04-01T19:13:52.485132Z,770,770,0.2,6,Uncategorized,770
2026-04-01T19:13:52.485132Z,771,771,0.0,10,Uncategorized,771
2026-04-01T19:13:52.485132Z,1691,PodcastsWidget,0.0,15,Uncategorized,PodcastsWidget
2026-04-01T19:13:52.485132Z,774,774,0.0,4,Uncategorized,774
2026-04-01T19:13:52.485132Z,775,775,0.0,4,Uncategorized,775
2026-04-01T19:13:52.485132Z,533,533,0.0,8,Uncategorized,533
2026-04-01T19:13:52.485132Z,1370,sharedfilelistd,0.0,16,Uncategorized,sharedfilelistd
2026-04-01T19:13:52.485132Z,776,776,0.0,4,Uncategorized,776
2026-04-01T19:13:52.485132Z,535,535,0.0,9,Uncategorized,535
2026-04-01T19:13:52.485132Z,536,536,0.0,3,Uncategorized,536
2026-04-01T19:13:52.485132Z,5313,5313,0.0,2,Uncategorized,5313
2026-04-01T19:13:52.485132Z,899,899,0.0,1,Uncategorized,899
2026-04-01T19:13:52.485132Z,13825,Claude Helper (Renderer),0.0,45,Uncategorized,Claude Helper (Renderer)
2026-04-01T19:13:52.485132Z,4652,Spotify Helper (Renderer),0.0,230,Uncategorized,Spotify Helper (Renderer)
2026-04-01T19:13:52.485132Z,5315,5315,0.0,5,Uncategorized,5315
2026-04-01T19:13:52.485132Z,659,659,0.0,13,Uncategorized,659
2026-04-01T19:13:52.485132Z,1628,WallpaperImageExtension,0.0,9,Uncategorized,WallpaperImageExtension
2026-04-01T19:13:52.485132Z,35966,sociallayerd,0.0,8,Uncategorized,sociallayerd
2026-04-01T19:13:52.485132Z,1004,trustd,0.0,13,Uncategorized,trustd
2026-04-01T19:13:52.485132Z,1617,WallpaperAgent,0.0,23,Uncategorized,WallpaperAgent
2026-04-01T19:13:52.485132Z,5334,5334,0.0,9,Uncategorized,5334
2026-04-01T19:13:52.485132Z,1453,UIKitSystem,0.0,14,Uncategorized,UIKitSystem
2026-04-01T19:13:52.485132Z,660,660,0.0,14,Uncategorized,660
2026-04-01T19:13:52.485132Z,36737,36737,0.0,3,Uncategorized,36737
2026-04-01T19:13:52.485132Z,540,540,0.0,5,Uncategorized,540
2026-04-01T19:13:52.485132Z,663,663,0.0,7,Uncategorized,663
2026-04-01T19:13:52.485132Z,1620,AMPDeviceDiscoveryAgent,0.0,5,Uncategorized,AMPDeviceDiscoveryAgent
2026-04-01T19:13:52.485132Z,664,664,0.0,5,Uncategorized,664
2026-04-01T19:13:52.485132Z,544,544,0.0,1,Uncategorized,544
2026-04-01T19:13:52.485132Z,665,665,0.0,6,Uncategorized,665
2026-04-01T19:13:52.485132Z,546,546,0.0,3,Uncategorized,546
2026-04-01T19:13:52.485132Z,13750,13750,0.0,3,Uncategorized,13750
2026-04-01T19:13:52.485132Z,1407,akd,0.0,39,Uncategorized,akd
2026-04-01T19:13:52.485132Z,941,distnoted,0.0,5,Uncategorized,distnoted
2026-04-01T19:13:52.485132Z,1290,corespotlightd,0.0,71,Uncategorized,corespotlightd
2026-04-01T19:13:52.485132Z,36065,ManagedSettingsAgent,0.0,4,Uncategorized,ManagedSettingsAgent
2026-04-01T19:13:52.485132Z,1579,HomeEnergyWidgetsExtension,0.0,16,Uncategorized,HomeEnergyWidgetsExtension
2026-04-01T19:13:52.485132Z,7401,7401,0.0,9,Uncategorized,7401
2026-04-01T19:13:52.485132Z,1315,talagentd,0.0,21,Uncategorized,talagentd
2026-04-01T19:13:52.485132Z,48695,linkd,0.0,13,Uncategorized,linkd
2026-04-01T19:13:52.485132Z,36228,photolibraryd,0.0,19,Uncategorized,photolibraryd
2026-04-01T19:13:52.485132Z,670,670,0.0,3,Uncategorized,670
2026-04-01T19:13:52.485132Z,550,550,0.0,23,Uncategorized,550
2026-04-01T19:13:52.485132Z,671,671,0.0,13,Uncategorized,671
2026-04-01T19:13:52.485132Z,35876,35876,0.0,5,Uncategorized,35876
2026-04-01T19:13:52.485132Z,552,552,0.0,3,Uncategorized,552
2026-04-01T19:13:52.485132Z,553,553,0.0,4,Uncategorized,553
2026-04-01T19:13:52.485132Z,1533,imagent,0.0,23,Uncategorized,imagent
2026-04-01T19:13:52.485132Z,35995,35995,0.0,4,Uncategorized,35995
2026-04-01T19:13:52.485132Z,675,675,0.0,2,Uncategorized,675
2026-04-01T19:13:52.485132Z,15249,storeuid,0.0,24,Uncategorized,storeuid
2026-04-01T19:13:52.485132Z,676,676,0.1,13,Uncategorized,676
2026-04-01T19:13:52.485132Z,557,557,0.0,1,Uncategorized,557
2026-04-01T19:13:52.485132Z,678,678,0.0,2,Uncategorized,678
2026-04-01T19:13:52.485132Z,559,559,0.0,4,Uncategorized,559
2026-04-01T19:13:52.485132Z,36841,36841,0.0,0,Uncategorized,36841
2026-04-01T19:13:52.485132Z,12354,com.apple.mail.SpotlightIndexExtension,0.0,10,Uncategorized,com.apple.mail.SpotlightIndexExtension
2026-04-01T19:13:52.485132Z,26352,TextThumbnailExtension,0.0,16,Uncategorized,TextThumbnailExtension
2026-04-01T19:13:52.485132Z,32849,StocksWidget,0.0,29,Uncategorized,StocksWidget
2026-04-01T19:13:52.485132Z,34086,suggestd,0.0,34,Uncategorized,suggestd
2026-04-01T19:13:52.485132Z,1352,corespeechd,0.0,19,Uncategorized,corespeechd
2026-04-01T19:13:52.485132Z,35958,ctkd,0.0,11,Uncategorized,ctkd
2026-04-01T19:13:52.485132Z,1659,Spotlight,0.0,57,Uncategorized,Spotlight
2026-04-01T19:13:52.485132Z,35980,35980,0.0,3,Uncategorized,35980
2026-04-01T19:13:52.485132Z,1291,BiomeAgent,0.0,10,Uncategorized,BiomeAgent
2026-04-01T19:13:52.485132Z,560,560,0.0,12,Uncategorized,560
2026-04-01T19:13:52.485132Z,682,682,0.0,3,Uncategorized,682
2026-04-01T19:13:52.485132Z,561,561,0.0,6,Uncategorized,561
2026-04-01T19:13:52.485132Z,35987,35987,0.0,3,Uncategorized,35987
2026-04-01T19:13:52.485132Z,683,683,0.0,3,Uncategorized,683
2026-04-01T19:13:52.485132Z,562,562,0.1,15,Uncategorized,562
2026-04-01T19:13:52.485132Z,36837,36837,0.0,7,Uncategorized,36837
2026-04-01T19:13:52.485132Z,684,684,0.0,6,Uncategorized,684
2026-04-01T19:13:52.485132Z,35986,35986,0.0,3,Uncategorized,35986
2026-04-01T19:13:52.485132Z,35985,35985,0.0,3,Uncategorized,35985
